faculty_id,day_of_week,time_slot_start,time_slot_end,availability_type
FAC001,Monday,09:00,17:00,Available
FAC001,Tuesday,09:00,17:00,Available
FAC001,Wednesday,09:00,17:00,Available
FAC001,Thursday,09:00,17:00,Available
FAC001,Friday,09:00,17:00,Available
FAC001,Saturday,09:00,17:00,Available
FAC002,Monday,09:00,17:00,Available
FAC002,Tuesday,09:00,17:00,Available
FAC002,Wednesday,09:00,17:00,Available
FAC002,Thursday,09:00,17:00,Available
FAC002,Friday,09:00,17:00,Available
FAC002,Saturday,09:00,17:00,Available
FAC003,Monday,09:00,17:00,Available
FAC003,Tuesday,09:00,17:00,Available
FAC003,Wednesday,09:00,17:00,Available
FAC003,Thursday,09:00,17:00,Available
FAC003,Friday,09:00,17:00,Available
FAC003,Saturday,09:00,17:00,Available
FAC004,Monday,09:00,17:00,Available
FAC004,Tuesday,09:00,17:00,Available
FAC004,Wednesday,09:00,17:00,Available
FAC004,Thursday,09:00,17:00,Available
FAC004,Friday,09:00,17:00,Available
FAC004,Saturday,09:00,17:00,Available
FAC005,Monday,09:00,17:00,Available
FAC005,Tuesday,09:00,17:00,Available
FAC005,Wednesday,09:00,17:00,Available
FAC005,Thursday,09:00,17:00,Available
FAC005,Friday,09:00,17:00,Available
FAC005,Saturday,09:00,17:00,Available
FAC006,Monday,09:00,17:00,Available
FAC006,Tuesday,09:00,17:00,Available
FAC006,Wednesday,09:00,17:00,Available
FAC006,Thursday,09:00,17:00,Available
FAC006,Friday,09:00,17:00,Available
FAC006,Saturday,09:00,17:00,Available
FAC007,Monday,09:00,17:00,Available
FAC007,Tuesday,09:00,17:00,Available
FAC007,Wednesday,09:00,17:00,Available
FAC007,Thursday,09:00,17:00,Available
FAC007,Friday,09:00,17:00,Available
FAC007,Saturday,09:00,17:00,Available
FAC008,Monday,09:00,17:00,Available
FAC008,Tuesday,09:00,17:00,Available
FAC008,Wednesday,09:00,17:00,Available
FAC008,Thursday,09:00,17:00,Available
FAC008,Friday,09:00,17:00,Available
FAC008,Saturday,09:00,17:00,Available
FAC009,Monday,09:00,17:00,Available
FAC009,Tuesday,09:00,17:00,Available
FAC009,Wednesday,09:00,17:00,Available
FAC009,Thursday,09:00,17:00,Available
FAC009,Friday,09:00,17:00,Available
FAC009,Saturday,09:00,17:00,Available
FAC010,Monday,09:00,17:00,Available
FAC010,Tuesday,09:00,17:00,Available
FAC010,Wednesday,09:00,17:00,Available
FAC010,Thursday,09:00,17:00,Available
FAC010,Friday,09:00,17:00,Available
FAC010,Saturday,09:00,17:00,Available
FAC011,Monday,09:00,17:00,Available
FAC011,Tuesday,09:00,17:00,Available
FAC011,Wednesday,09:00,17:00,Available
FAC011,Thursday,09:00,17:00,Available
FAC011,Friday,09:00,17:00,Available
FAC011,Saturday,09:00,17:00,Available
FAC012,Monday,09:00,17:00,Available
FAC012,Tuesday,09:00,17:00,Available
FAC012,Wednesday,09:00,17:00,Available
FAC012,Thursday,09:00,17:00,Available
FAC012,Friday,09:00,17:00,Available
FAC012,Saturday,09:00,17:00,Available
FAC013,Monday,09:00,17:00,Available
FAC013,Tuesday,09:00,17:00,Available
FAC013,Wednesday,09:00,17:00,Available
FAC013,Thursday,09:00,17:00,Available
FAC013,Friday,09:00,17:00,Available
FAC013,Saturday,09:00,17:00,Available
FAC014,Monday,09:00,17:00,Available
FAC014,Tuesday,09:00,17:00,Available
FAC014,Wednesday,09:00,17:00,Available
FAC014,Thursday,09:00,17:00,Available
FAC014,Friday,09:00,17:00,Available
FAC014,Saturday,09:00,17:00,Available
FAC015,Monday,09:00,17:00,Available
FAC015,Tuesday,09:00,17:00,Available
FAC015,Wednesday,09:00,17:00,Available
FAC015,Thursday,09:00,17:00,Available
FAC015,Friday,09:00,17:00,Available
FAC015,Saturday,09:00,17:00,Available
FAC016,Monday,09:00,17:00,Available
FAC016,Tuesday,09:00,17:00,Available
FAC016,Wednesday,09:00,17:00,Available
FAC016,Thursday,09:00,17:00,Available
FAC016,Friday,09:00,17:00,Available
FAC016,Saturday,09:00,17:00,Available
FAC017,Monday,09:00,17:00,Available
FAC017,Tuesday,09:00,17:00,Available
FAC017,Wednesday,09:00,17:00,Available
FAC017,Thursday,09:00,17:00,Available
FAC017,Friday,09:00,17:00,Available
FAC017,Saturday,09:00,17:00,Available
FAC018,Monday,09:00,17:00,Available
FAC018,Tuesday,09:00,17:00,Available
FAC018,Wednesday,09:00,17:00,Available
FAC018,Thursday,09:00,17:00,Available
FAC018,Friday,09:00,17:00,Available
FAC018,Saturday,09:00,17:00,Available
FAC019,Monday,09:00,17:00,Available
FAC019,Tuesday,09:00,17:00,Available
FAC019,Wednesday,09:00,17:00,Available
FAC019,Thursday,09:00,17:00,Available
FAC019,Friday,09:00,17:00,Available
FAC019,Saturday,09:00,17:00,Available
FAC020,Monday,09:00,17:00,Available
FAC020,Tuesday,09:00,17:00,Available
FAC020,Wednesday,09:00,17:00,Available
FAC020,Thursday,09:00,17:00,Available
FAC020,Friday,09:00,17:00,Available
FAC020,Saturday,09:00,17:00,Available
