faculty_id,day_of_week,time_slot_start,time_slot_end,availability_type
FAC001,Monday,10:00,17:00,Available
FAC001,Tuesday,10:00,17:00,Available
FAC001,Wednesday,10:00,17:00,Available
FAC001,Thursday,10:00,17:00,Available
FAC001,Friday,10:00,17:00,Available
FAC001,Saturday,10:00,17:00,Available
FAC002,Monday,10:00,17:00,Available
FAC002,Tuesday,10:00,17:00,Available
FAC002,Wednesday,10:00,17:00,Available
FAC002,Thursday,10:00,17:00,Available
FAC002,Friday,10:00,17:00,Available
FAC002,Saturday,10:00,17:00,Available
FAC003,Monday,10:00,17:00,Available
FAC003,Tuesday,10:00,17:00,Available
FAC003,Wednesday,10:00,17:00,Available
FAC003,Thursday,10:00,17:00,Available
FAC003,Friday,10:00,17:00,Available
FAC003,Saturday,10:00,17:00,Available
FAC004,Monday,10:00,17:00,Available
FAC004,Tuesday,10:00,17:00,Available
FAC004,Wednesday,10:00,17:00,Available
FAC004,Thursday,10:00,17:00,Available
FAC004,Friday,10:00,17:00,Available
FAC004,Saturday,10:00,17:00,Available
FAC005,Monday,10:00,17:00,Available
FAC005,Tuesday,10:00,17:00,Available
FAC005,Wednesday,10:00,17:00,Available
FAC005,Thursday,10:00,17:00,Available
FAC005,Friday,10:00,17:00,Available
FAC005,Saturday,10:00,17:00,Available
FAC006,Monday,10:00,17:00,Available
FAC006,Tuesday,10:00,17:00,Available
FAC006,Wednesday,10:00,17:00,Available
FAC006,Thursday,10:00,17:00,Available
FAC006,Friday,10:00,17:00,Available
FAC006,Saturday,10:00,17:00,Available
FAC007,Monday,10:00,17:00,Available
FAC007,Tuesday,10:00,17:00,Available
FAC007,Wednesday,10:00,17:00,Available
FAC007,Thursday,10:00,17:00,Available
FAC007,Friday,10:00,17:00,Available
FAC007,Saturday,10:00,17:00,Available
FAC008,Monday,10:00,17:00,Available
FAC008,Tuesday,10:00,17:00,Available
FAC008,Wednesday,10:00,17:00,Available
FAC008,Thursday,10:00,17:00,Available
FAC008,Friday,10:00,17:00,Available
FAC008,Saturday,10:00,17:00,Available
FAC009,Monday,10:00,17:00,Available
FAC009,Tuesday,10:00,17:00,Available
FAC009,Wednesday,10:00,17:00,Available
FAC009,Thursday,10:00,17:00,Available
FAC009,Friday,10:00,17:00,Available
FAC009,Saturday,10:00,17:00,Available
FAC010,Monday,10:00,17:00,Available
FAC010,Tuesday,10:00,17:00,Available
FAC010,Wednesday,10:00,17:00,Available
FAC010,Thursday,10:00,17:00,Available
FAC010,Friday,10:00,17:00,Available
FAC010,Saturday,10:00,17:00,Available
FAC011,Monday,10:00,17:00,Available
FAC011,Tuesday,10:00,17:00,Available
FAC011,Wednesday,10:00,17:00,Available
FAC011,Thursday,10:00,17:00,Available
FAC011,Friday,10:00,17:00,Available
FAC011,Saturday,10:00,17:00,Available
FAC012,Monday,10:00,17:00,Available
FAC012,Tuesday,10:00,17:00,Available
FAC012,Wednesday,10:00,17:00,Available
FAC012,Thursday,10:00,17:00,Available
FAC012,Friday,10:00,17:00,Available
FAC012,Saturday,10:00,17:00,Available
FAC013,Monday,10:00,17:00,Available
FAC013,Tuesday,10:00,17:00,Available
FAC013,Wednesday,10:00,17:00,Available
FAC013,Thursday,10:00,17:00,Available
FAC013,Friday,10:00,17:00,Available
FAC013,Saturday,10:00,17:00,Available
FAC014,Monday,10:00,17:00,Available
FAC014,Tuesday,10:00,17:00,Available
FAC014,Wednesday,10:00,17:00,Available
FAC014,Thursday,10:00,17:00,Available
FAC014,Friday,10:00,17:00,Available
FAC014,Saturday,10:00,17:00,Available
FAC015,Monday,10:00,17:00,Available
FAC015,Tuesday,10:00,17:00,Available
FAC015,Wednesday,10:00,17:00,Available
FAC015,Thursday,10:00,17:00,Available
FAC015,Friday,10:00,17:00,Available
FAC015,Saturday,10:00,17:00,Available
FAC016,Monday,10:00,17:00,Available
FAC016,Tuesday,10:00,17:00,Available
FAC016,Wednesday,10:00,17:00,Available
FAC016,Thursday,10:00,17:00,Available
FAC016,Friday,10:00,17:00,Available
FAC016,Saturday,10:00,17:00,Available
FAC017,Monday,10:00,17:00,Available
FAC017,Tuesday,10:00,17:00,Available
FAC017,Wednesday,10:00,17:00,Available
FAC017,Thursday,10:00,17:00,Available
FAC017,Friday,10:00,17:00,Available
FAC017,Saturday,10:00,17:00,Available
FAC018,Monday,10:00,17:00,Available
FAC018,Tuesday,10:00,17:00,Available
FAC018,Wednesday,10:00,17:00,Available
FAC018,Thursday,10:00,17:00,Available
FAC018,Friday,10:00,17:00,Available
FAC018,Saturday,10:00,17:00,Available
FAC019,Monday,10:00,17:00,Available
FAC019,Tuesday,10:00,17:00,Available
FAC019,Wednesday,10:00,17:00,Available
FAC019,Thursday,10:00,17:00,Available
FAC019,Friday,10:00,17:00,Available
FAC019,Saturday,10:00,17:00,Available
FAC020,Monday,10:00,17:00,Available
FAC020,Tuesday,10:00,17:00,Available
FAC020,Wednesday,10:00,17:00,Available
FAC020,Thursday,10:00,17:00,Available
FAC020,Friday,10:00,17:00,Available
FAC020,Saturday,10:00,17:00,Available
FAC021,Monday,10:00,17:00,Available
FAC021,Tuesday,10:00,17:00,Available
FAC021,Wednesday,10:00,17:00,Available
FAC021,Thursday,10:00,17:00,Available
FAC021,Friday,10:00,17:00,Available
FAC021,Saturday,10:00,17:00,Available
FAC022,Monday,10:00,17:00,Available
FAC022,Tuesday,10:00,17:00,Available
FAC022,Wednesday,10:00,17:00,Available
FAC022,Thursday,10:00,17:00,Available
FAC022,Friday,10:00,17:00,Available
FAC022,Saturday,10:00,17:00,Available
FAC023,Monday,10:00,17:00,Available
FAC023,Tuesday,10:00,17:00,Available
FAC023,Wednesday,10:00,17:00,Available
FAC023,Thursday,10:00,17:00,Available
FAC023,Friday,10:00,17:00,Available
FAC023,Saturday,10:00,17:00,Available
FAC024,Monday,10:00,17:00,Available
FAC024,Tuesday,10:00,17:00,Available
FAC024,Wednesday,10:00,17:00,Available
FAC024,Thursday,10:00,17:00,Available
FAC024,Friday,10:00,17:00,Available
FAC024,Saturday,10:00,17:00,Available
FAC025,Monday,10:00,17:00,Available
FAC025,Tuesday,10:00,17:00,Available
FAC025,Wednesday,10:00,17:00,Available
FAC025,Thursday,10:00,17:00,Available
FAC025,Friday,10:00,17:00,Available
FAC025,Saturday,10:00,17:00,Available
FAC026,Monday,10:00,17:00,Available
FAC026,Tuesday,10:00,17:00,Available
FAC026,Wednesday,10:00,17:00,Available
FAC026,Thursday,10:00,17:00,Available
FAC026,Friday,10:00,17:00,Available
FAC026,Saturday,10:00,17:00,Available
FAC027,Monday,10:00,17:00,Available
FAC027,Tuesday,10:00,17:00,Available
FAC027,Wednesday,10:00,17:00,Available
FAC027,Thursday,10:00,17:00,Available
FAC027,Friday,10:00,17:00,Available
FAC027,Saturday,10:00,17:00,Available
FAC028,Monday,10:00,17:00,Available
FAC028,Tuesday,10:00,17:00,Available
FAC028,Wednesday,10:00,17:00,Available
FAC028,Thursday,10:00,17:00,Available
FAC028,Friday,10:00,17:00,Available
FAC028,Saturday,10:00,17:00,Available
FAC029,Monday,10:00,17:00,Available
FAC029,Tuesday,10:00,17:00,Available
FAC029,Wednesday,10:00,17:00,Available
FAC029,Thursday,10:00,17:00,Available
FAC029,Friday,10:00,17:00,Available
FAC029,Saturday,10:00,17:00,Available
FAC030,Monday,10:00,17:00,Available
FAC030,Tuesday,10:00,17:00,Available
FAC030,Wednesday,10:00,17:00,Available
FAC030,Thursday,10:00,17:00,Available
FAC030,Friday,10:00,17:00,Available
FAC030,Saturday,10:00,17:00,Available
FAC031,Monday,10:00,17:00,Available
FAC031,Tuesday,10:00,17:00,Available
FAC031,Wednesday,10:00,17:00,Available
FAC031,Thursday,10:00,17:00,Available
FAC031,Friday,10:00,17:00,Available
FAC031,Saturday,10:00,17:00,Available
FAC032,Monday,10:00,17:00,Available
FAC032,Tuesday,10:00,17:00,Available
FAC032,Wednesday,10:00,17:00,Available
FAC032,Thursday,10:00,17:00,Available
FAC032,Friday,10:00,17:00,Available
FAC032,Saturday,10:00,17:00,Available
FAC033,Monday,10:00,17:00,Available
FAC033,Tuesday,10:00,17:00,Available
FAC033,Wednesday,10:00,17:00,Available
FAC033,Thursday,10:00,17:00,Available
FAC033,Friday,10:00,17:00,Available
FAC033,Saturday,10:00,17:00,Available
FAC034,Monday,10:00,17:00,Available
FAC034,Tuesday,10:00,17:00,Available
FAC034,Wednesday,10:00,17:00,Available
FAC034,Thursday,10:00,17:00,Available
FAC034,Friday,10:00,17:00,Available
FAC034,Saturday,10:00,17:00,Available
FAC035,Monday,10:00,17:00,Available
FAC035,Tuesday,10:00,17:00,Available
FAC035,Wednesday,10:00,17:00,Available
FAC035,Thursday,10:00,17:00,Available
FAC035,Friday,10:00,17:00,Available
FAC035,Saturday,10:00,17:00,Available
